title,body,labels,assignees,milestone,priority,complexity,component,estimated_hours,blocked_by,type
"[TRACK-001] Real-time shipment map 🗺️","## Summary
Add an interactive map view to the Shipments dashboard so dispatchers can see active shipments plotted on a US map in real-time.

## Acceptance Criteria
- [ ] Map renders within the existing shipment panel using a canvas or SVG approach (no external map library)
- [ ] Each active shipment is shown as a pin with status color (transit = blue, delayed = red, exception = orange)
- [ ] Clicking a pin opens a tooltip with shipment ID, carrier, and ETA
- [ ] Map is responsive and works on 1280px+ viewports

## Depends On
None

## Blocks
TRACK-004","enhancement,shipments,frontend",,"v1.1 — Visibility Sprint",high,large,Shipments,13,,feature
"[TRACK-002] Shipment search & filter bar 🔍","## Summary
Dispatchers need to quickly find shipments by ID, destination, or carrier without scrolling through the full grid.

## Acceptance Criteria
- [ ] Search input filters shipment cards in real-time as the user types
- [ ] Dropdown filter for status (All / In Transit / Delayed / Delivered / Exception)
- [ ] Dropdown filter for carrier
- [ ] Clear button resets all filters
- [ ] No results state shows a friendly empty message

## Depends On
None

## Blocks
None","enhancement,shipments,frontend",,"v1.1 — Visibility Sprint",high,medium,Shipments,8,,feature
"[ROUTE-001] Route optimization summary panel 📊","## Summary
Add a sidebar panel on the Routes page that calculates and displays efficiency metrics for the selected route (avg load factor, avg transit time, cost per mile estimate).

## Acceptance Criteria
- [ ] Clicking a route in the list populates the summary panel on the right
- [ ] Panel shows: avg loads/week, estimated cost-per-mile tier (low/med/high), on-time % for that corridor
- [ ] Highlight the best-performing route with a ⭐ badge
- [ ] Panel animates in smoothly using CSS transitions

## Depends On
None

## Blocks
ROUTE-002","enhancement,routes,frontend",,"v1.1 — Visibility Sprint",medium,medium,Routes,6,,feature
"[ROUTE-002] Export routes to CSV 📥","## Summary
Let users export the current routes table (with all calculated metrics) to a CSV file for use in external reporting tools.

## Acceptance Criteria
- [ ] 'Export CSV' button appears in the Routes section header
- [ ] CSV includes: Route Name, Origin, Destination, Active Loads, On-Time %, Avg Transit Time
- [ ] File is named `logitrack-routes-YYYY-MM-DD.csv`
- [ ] Uses client-side Blob download (no server required)

## Depends On
ROUTE-001

## Blocks
None","enhancement,routes,frontend",,"v1.2 — Reporting Sprint",low,small,Routes,3,ROUTE-001,feature
"[CARR-001] Carrier health score algorithm 🏥","## Summary
Replace the simple active/degraded/offline status label with a computed health score (0–100) based on on-time %, active load volume, and average transit time. Show a color-coded score badge in the carriers table.

## Acceptance Criteria
- [ ] Score formula documented in a JS comment above the function
- [ ] Score displayed as a pill badge: green (80–100), yellow (60–79), red (<60)
- [ ] Tooltip on hover explains the score breakdown
- [ ] NorthStar (offline) carrier shows 'N/A' gracefully
- [ ] Existing `status` field is kept for backward compatibility

## Depends On
None

## Blocks
CARR-002","enhancement,carriers,frontend",,"v1.2 — Reporting Sprint",high,medium,Carriers,7,,feature
"[CARR-002] Carrier comparison mode ⚖️","## Summary
Allow users to select 2–3 carriers and see a side-by-side comparison panel with all metrics, making it easy to decide which carrier to assign to a new route.

## Acceptance Criteria
- [ ] Checkbox on each carrier row enables 'compare' mode (max 3)
- [ ] 'Compare' button appears when 2+ carriers are checked
- [ ] Comparison panel slides in from the right with a column per carrier
- [ ] Winning metric in each row is highlighted in green
- [ ] Panel can be dismissed with an ✕ button or Escape key

## Depends On
CARR-001

## Blocks
None","enhancement,carriers,frontend",,"v1.2 — Reporting Sprint",medium,large,Carriers,11,CARR-001,feature
"[TRACK-003] Fix XSS vulnerability in shipment search 🔐","## Summary
The shipment search input currently passes user input directly into `innerHTML`, creating a reflected XSS vector. Replace with safe DOM methods.

## Acceptance Criteria
- [ ] All user-controlled values rendered via `textContent` or `createElement` — never `innerHTML`
- [ ] Manual test: entering `<img src=x onerror=alert(1)>` in the search box does NOT trigger an alert
- [ ] No regressions in existing search/filter functionality
- [ ] Code comment explains the fix for future contributors

## Depends On
None

## Blocks
None

> ⚠️ **Security:** This is the intentional demo vulnerability documented in `app.js`. Fix only in the context of the GHAS Autofix demo walkthrough.","bug,security,shipments",,"v1.0 — Hotfix",critical,small,Shipments,2,,bug
"[SPRINT-001] Sprint board dark mode 🌙","## Summary
The sprint board (and the entire LogiTrack UI) only supports light mode. Add a dark mode toggle that respects `prefers-color-scheme` by default and saves the user's manual override to `localStorage`.

## Acceptance Criteria
- [ ] Sun/moon toggle button in the top-right of the nav bar
- [ ] All CSS custom properties have dark-mode overrides defined in a `[data-theme='dark']` selector
- [ ] Default follows OS preference via `prefers-color-scheme` media query
- [ ] User override persisted to `localStorage` and applied on page load
- [ ] No flash of unstyled content (FOUC) on load

## Depends On
None

## Blocks
None","enhancement,ui,accessibility",,"v1.2 — Reporting Sprint",medium,medium,Global UI,9,,feature
"[PERF-001] Lazy-render shipment cards for large datasets 🚀","## Summary
When SHIPMENTS array grows beyond ~50 items the DOM becomes sluggish. Implement a simple virtual scroll / pagination so only the visible cards are rendered at a time.

## Acceptance Criteria
- [ ] Shipment grid paginates at 12 cards per page
- [ ] Previous / Next controls + current page indicator shown below the grid
- [ ] Page state resets to 1 when filters change
- [ ] No visible layout shift when navigating pages
- [ ] Tested manually with a SHIPMENTS array of 100 synthetic items

## Depends On
TRACK-002

## Blocks
None","performance,shipments,frontend",,"v1.3 — Scale Sprint",low,medium,Shipments,6,TRACK-002,feature
"[A11Y-001] Keyboard navigation & screen reader audit ♿","## Summary
Run a full accessibility pass on the LogiTrack UI. Every interactive element must be reachable by keyboard and announced correctly by a screen reader (VoiceOver / NVDA).

## Acceptance Criteria
- [ ] All buttons, links, and inputs reachable via Tab key with visible focus styles
- [ ] Status badges use `aria-label` to convey meaning beyond color alone
- [ ] Shipment cards have `role='article'` and a descriptive `aria-label`
- [ ] Carrier table `<th>` elements have `scope='col'`
- [ ] Sprint items communicate blocked status via `aria-description`
- [ ] Zero critical violations in axe DevTools scan

## Depends On
None

## Blocks
None","accessibility,ui,compliance",,"v1.3 — Scale Sprint",high,large,Global UI,12,,chore
